Tarih;Saat;Tüketim Miktar?(MWh)
26.06.2025;21:00;50.211,13
26.06.2025;22:00;48.459,74
26.06.2025;23:00;46.247,02
27.06.2025;00:00;43.497,95
27.06.2025;01:00;41.167,60
27.06.2025;02:00;39.530,50
27.06.2025;03:00;38.273,33
27.06.2025;04:00;37.032,52
27.06.2025;05:00;36.237,85
27.06.2025;06:00;36.086,47
27.06.2025;07:00;38.125,74
27.06.2025;08:00;44.120,36
27.06.2025;09:00;48.161,07
27.06.2025;10:00;49.988,61
27.06.2025;11:00;51.501,07
27.06.2025;12:00;50.481,35
27.06.2025;13:00;50.483,76
27.06.2025;14:00;53.146,87
27.06.2025;15:00;52.769,22
27.06.2025;16:00;52.594,20
27.06.2025;17:00;51.005,02
27.06.2025;18:00;49.823,11
27.06.2025;19:00;49.581,25
27.06.2025;20:00;50.328,52
27.06.2025;21:00;50.213,39
27.06.2025;22:00;48.358,19
27.06.2025;23:00;45.694,35
28.06.2025;00:00;43.556,30
28.06.2025;01:00;41.483,49
28.06.2025;02:00;39.805,33
28.06.2025;03:00;38.596,02
28.06.2025;04:00;37.777,00
28.06.2025;05:00;36.108,31
28.06.2025;06:00;35.581,22
28.06.2025;07:00;36.948,15
28.06.2025;08:00;41.046,09
28.06.2025;09:00;44.239,41
28.06.2025;10:00;46.364,39
28.06.2025;11:00;47.708,81
28.06.2025;12:00;47.433,19
28.06.2025;13:00;48.324,79
28.06.2025;14:00;48.832,68
28.06.2025;15:00;48.259,60
28.06.2025;16:00;47.640,63
28.06.2025;17:00;47.440,85
28.06.2025;18:00;47.385,28
28.06.2025;19:00;47.021,85
28.06.2025;20:00;47.831,94
28.06.2025;21:00;47.709,28
28.06.2025;22:00;46.083,61
28.06.2025;23:00;43.902,49
29.06.2025;00:00;41.314,91
29.06.2025;01:00;39.533,64
29.06.2025;02:00;37.604,91
29.06.2025;03:00;36.345,43
29.06.2025;04:00;35.703,95
29.06.2025;05:00;34.055,59
29.06.2025;06:00;32.993,25
29.06.2025;07:00;32.583,44
29.06.2025;08:00;34.637,64
29.06.2025;09:00;36.701,56
29.06.2025;10:00;38.122,76
29.06.2025;11:00;39.343,31
29.06.2025;12:00;39.601,11
29.06.2025;13:00;40.280,63
29.06.2025;14:00;40.464,02
29.06.2025;15:00;40.502,34
29.06.2025;16:00;40.457,86
29.06.2025;17:00;40.471,47
29.06.2025;18:00;40.765,81
29.06.2025;19:00;41.157,78
29.06.2025;20:00;42.425,32
29.06.2025;21:00;42.505,42
29.06.2025;22:00;41.384,55
29.06.2025;23:00;39.784,44
30.06.2025;00:00;38.101,47
30.06.2025;01:00;36.154,30
30.06.2025;02:00;34.966,77
30.06.2025;03:00;33.912,75
30.06.2025;04:00;33.435,00
30.06.2025;05:00;32.520,24
30.06.2025;06:00;32.556,68
30.06.2025;07:00;35.019,44
30.06.2025;08:00;41.447,52
30.06.2025;09:00;44.295,78
30.06.2025;10:00;46.034,92
30.06.2025;11:00;47.268,03
30.06.2025;12:00;46.461,62
30.06.2025;13:00;48.004,54
30.06.2025;14:00;48.893,10
30.06.2025;15:00;48.250,29
30.06.2025;16:00;48.188,71
30.06.2025;17:00;47.794,83
30.06.2025;18:00;46.749,34
30.06.2025;19:00;46.657,58
30.06.2025;20:00;47.824,39
30.06.2025;21:00;47.469,30
30.06.2025;22:00;46.261,42
30.06.2025;23:00;44.115,16
1.07.2025;00:00;41.620,89
1.07.2025;01:00;39.743,86
1.07.2025;02:00;38.202,18
1.07.2025;03:00;37.184,69
1.07.2025;04:00;36.532,57
1.07.2025;05:00;35.543,58
1.07.2025;06:00;35.359,22
1.07.2025;07:00;37.240,49
1.07.2025;08:00;42.935,78
1.07.2025;09:00;46.282,38
1.07.2025;10:00;47.920,02
1.07.2025;11:00;49.437,64
1.07.2025;12:00;48.667,41
1.07.2025;13:00;49.978,93
1.07.2025;14:00;51.082,20
1.07.2025;15:00;50.720,57
1.07.2025;16:00;50.394,24
1.07.2025;17:00;49.724,33
1.07.2025;18:00;48.308,18
1.07.2025;19:00;47.978,48
1.07.2025;20:00;48.829,12
1.07.2025;21:00;48.658,38
1.07.2025;22:00;47.077,85
1.07.2025;23:00;45.175,05
2.07.2025;00:00;42.616,60
2.07.2025;01:00;40.625,76
2.07.2025;02:00;39.114,14
2.07.2025;03:00;37.974,39
2.07.2025;04:00;37.320,07
2.07.2025;05:00;35.885,51
2.07.2025;06:00;35.827,98
2.07.2025;07:00;38.106,18
2.07.2025;08:00;43.643,27
2.07.2025;09:00;46.906,89
2.07.2025;10:00;48.376,50
2.07.2025;11:00;49.701,84
2.07.2025;12:00;48.511,15
2.07.2025;13:00;48.946,37
2.07.2025;14:00;49.445,23
2.07.2025;15:00;50.330,70
2.07.2025;16:00;49.921,98
2.07.2025;17:00;49.247,98
2.07.2025;18:00;48.173,03
2.07.2025;19:00;47.680,33
2.07.2025;20:00;48.484,09
2.07.2025;21:00;48.394,10
2.07.2025;22:00;46.698,97
2.07.2025;23:00;44.877,85
3.07.2025;00:00;42.240,48
3.07.2025;01:00;40.107,48
3.07.2025;02:00;38.689,77
3.07.2025;03:00;37.508,34
3.07.2025;04:00;36.761,67
3.07.2025;05:00;35.634,38
3.07.2025;06:00;35.480,99
3.07.2025;07:00;37.357,40
3.07.2025;08:00;42.992,59
3.07.2025;09:00;45.932,03
3.07.2025;10:00;46.978,53
3.07.2025;11:00;48.385,35
3.07.2025;12:00;47.120,70
3.07.2025;13:00;48.369,57
3.07.2025;14:00;49.330,10
3.07.2025;15:00;49.149,56
3.07.2025;16:00;49.154,95
3.07.2025;17:00;47.959,75
3.07.2025;18:00;46.898,50
3.07.2025;19:00;46.797,74
3.07.2025;20:00;47.577,65
3.07.2025;21:00;47.505,63
3.07.2025;22:00;45.859,28
3.07.2025;23:00;43.703,48
4.07.2025;00:00;41.316,28
